sample_id,sequence,frame_number,frame_path,bbox_x1,bbox_y1,bbox_x2,bbox_y2,intended_level,analysis_severity,visible_joint_ratio_body12,detection_status,base_sequence,base_frame_number,synthetic_image_path,pipeline_status,seconds,prediction_path,error
synthetic_c2/case_01_MansoryBrickLaying_00/000/none,case_01_MansoryBrickLaying_00__none,0,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01221.jpg,492.39,57.56,659.56,385.04,none,none,1.0,ok,MansoryBrickLaying_00,1221,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01221.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_01_MansoryBrickLaying_00__000__none.npz,
synthetic_c2/case_01_MansoryBrickLaying_00/017/none,case_01_MansoryBrickLaying_00__none,17,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01238.jpg,506.3,59.01,630.89,380.33,none,none,1.0,ok,MansoryBrickLaying_00,1238,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01238.jpg,ok,23.234,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_01_MansoryBrickLaying_00__017__none.npz,
synthetic_c2/case_01_MansoryBrickLaying_00/034/none,case_01_MansoryBrickLaying_00__none,34,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01255.jpg,510.45,57.37,626.9,385.34,none,none,1.0,ok,MansoryBrickLaying_00,1255,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_01_MansoryBrickLaying_00/none/image_01255.jpg,ok,24.450,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_01_MansoryBrickLaying_00__034__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/003/none,case_02_MansoryBrickLaying_01__none,3,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00253.jpg,486.48,37.87,626.49,381.26,none,none,1.0,ok,MansoryBrickLaying_01,253,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00253.jpg,ok,25.454,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__003__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/013/partial,case_02_MansoryBrickLaying_01__partial,13,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/partial/image_00263.jpg,458.76,38.64,618.81,379.18,partial,none,0.917,ok,MansoryBrickLaying_01,263,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/partial/image_00263.jpg,ok,25.615,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__013__partial.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/024/none,case_02_MansoryBrickLaying_01__none,24,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00274.jpg,428.65,43.65,598.08,380.9,none,none,1.0,ok,MansoryBrickLaying_01,274,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00274.jpg,ok,0.000,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__024__none.npz,
synthetic_c2/case_02_MansoryBrickLaying_01/040/none,case_02_MansoryBrickLaying_01__none,40,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00290.jpg,398.01,100.5,585.81,375.5,none,none,1.0,ok,MansoryBrickLaying_01,290,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_02_MansoryBrickLaying_01/none/image_00290.jpg,ok,25.348,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_02_MansoryBrickLaying_01__040__none.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/006/partial,case_03_MansoryBrickLaying_02__partial,6,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/partial/image_00095.jpg,513.83,56.49,644.16,383.49,partial,none,0.917,ok,MansoryBrickLaying_02,95,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/partial/image_00095.jpg,ok,25.501,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__006__partial.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/016/partial,case_03_MansoryBrickLaying_02__partial,16,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/partial/image_00105.jpg,502.09,53.62,636.36,379.78,partial,none,0.917,ok,MansoryBrickLaying_02,105,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/partial/image_00105.jpg,ok,25.364,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__016__partial.npz,
synthetic_c2/case_03_MansoryBrickLaying_02/025/none,case_03_MansoryBrickLaying_02__none,25,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00114.jpg,490.96,55.88,636.97,383.91,none,none,1.0,ok,MansoryBrickLaying_02,114,<private_workspace>/m1/outputs/synthetic_occlusion/video_cases_c2/images/case_03_MansoryBrickLaying_02/none/image_00114.jpg,ok,24.801,<private_workspace>/m1/outputs/predictions/synthetic_c2_sam3db_balanced100/synthetic_c2__case_03_MansoryBrickLaying_02__025__none.npz,
